Fruit,Target,Regressor,Measurement Type,Integration Time,LED Current,Score
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3366551093790187
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.30051882447997763
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.27050642323938123
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3333496817214665
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.401051247707415
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.36833379718420234
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.38511530045329445
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.333523571796629
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.30921846659348773
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.2913864125491073
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.08947335408515762
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.11593585447052676
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.0831498824744255
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06866695955619848
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.09632668590752766
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.09443189737108938
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.0752260888646996
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.08070477453151241
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.10128212166488805
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.08174878489564248
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3904591384444819
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.30470240922351816
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3785628692816921
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3170020926685151
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3761637269782713
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.4114539111354495
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3744145057350963
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.37806582063992694
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3219896440181676
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.37640382046748
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.08119532949418752
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.0725791290471707
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.07594498014595294
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.05856740590867798
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.06424620358822046
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.05956881071152225
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.07840658783824539
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.06621840753665899
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.0795887083209657
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.08510450051911662
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.23846948767827647
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.2840472836974296
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.289804017050021
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3137158146624523
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3622611197602499
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3081309123196432
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3237803980804809
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3898532860850198
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.4024054664113841
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.2905137214971404
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.09498022683241122
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.06754018849965839
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.0906192574261907
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.06633699237907481
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.08480374877129579
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.07187837793868997
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.05562354173414323
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.08553948447913659
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.08469553720918549
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.10002190581950647
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.40536429853461076
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.3920702228070237
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.3475514308102462
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.3440372153997492
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.4235927197816123
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.4272925013967145
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.4975135542613217
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.4323105841767404
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.4000647829961781
tomato,lycopene (FW),SVR,reflectance,50,12.5 mA,-0.427915904042818
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.11770386699999999
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.09347135379999999
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.0901880089
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.0843977636
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.0840263455
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.10883012070000002
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.0919459642
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.0913612837
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.08627523499999999
tomato,beta-carotene (FW),SVR,reflectance,50,12.5 mA,-0.0960935487
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.40399195935384774
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.34298893531080693
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.3497521884209351
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.36629467437426816
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.31819589161908013
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.4183176482083291
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.268104455208225
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.40226837762526274
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.4093463648948072
tomato,lycopene (FW),PLS,reflectance,50,12.5 mA,-0.3758493106382238
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.07197765526426882
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.07999122740724815
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.08751933167717721
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.08731334986321844
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.0824788862937262
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.06941856418507494
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.08068326804394058
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.07574305299878968
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.07634501968792236
tomato,beta-carotene (FW),PLS,reflectance,50,12.5 mA,-0.08235066441289707
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.37854439122164557
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.3724770358100943
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.37392894651427777
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.2721759020161958
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.35703768479955783
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.40295454078295834
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.41997738170585636
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.39186289087324805
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.42919345716323454
tomato,lycopene (FW),ARD,reflectance,50,25 mA,-0.345242909641663
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.1019660901163327
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.07936949731347809
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.07052874857650086
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.08086366777846053
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.09460853099058258
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.06695194450216126
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.07545960341373122
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.07512497694614746
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.08382639734693012
tomato,beta-carotene (FW),ARD,reflectance,50,25 mA,-0.0684199299764833
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.34955373364925757
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.3851726480313708
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.3282371660598879
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.373699307432157
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.3184233479240913
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.35133692450734333
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.35399534466132215
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.3526506578520237
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.4562558323877758
tomato,lycopene (FW),Huber Regression,reflectance,50,25 mA,-0.30817783504468477
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.09150177822180709
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.07408846725339568
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.08757194809299926
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.07743664839460644
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.086965781597916
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.09011753708310533
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.0980355985781846
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.07859737638993136
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.07497868331935272
tomato,beta-carotene (FW),Huber Regression,reflectance,50,25 mA,-0.07999685478281235
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.33327915271973163
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.30351563319035224
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.4282577627217229
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.3838511449883895
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.35026556217024324
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.41625292821496357
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.3722513633461553
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.33272848555311413
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.3854323964487259
tomato,lycopene (FW),Lasso IC,reflectance,50,25 mA,-0.36108344037287654
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.08902212377073519
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.10068098469524218
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.07792257807217087
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.0855096041205842
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.06706451891741663
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.07740501064838505
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.07486736044137154
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.08660660006670164
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.07097073743654383
tomato,beta-carotene (FW),Lasso IC,reflectance,50,25 mA,-0.0614807132753636
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.4117093956341181
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.38721163126899877
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.3234142855865513
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.4245148219039546
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.4336890356101524
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.3832429108456026
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.44106676955470203
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.3451609514403118
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.4225150092366629
tomato,lycopene (FW),SVR,reflectance,50,25 mA,-0.398245324573501
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.11227906939743587
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.0898708207
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.1098128193
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.08732040729999999
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.0908110158
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.08854177690000001
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.0963629724
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.08904497389999999
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.08960121732051282
tomato,beta-carotene (FW),SVR,reflectance,50,25 mA,-0.11253672730000001
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.39854047450112884
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.40659885002304924
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.4068327322235355
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.3818362444286729
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.42277756681371825
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.46313433852025127
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.32044299478685245
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.4067892803643624
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.3615933244768334
tomato,lycopene (FW),PLS,reflectance,50,25 mA,-0.3170383612147589
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.0809010810286398
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.08403528479602233
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.0826252040547671
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.05084439939174381
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.07489625949206287
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.05480122342933893
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.08955141282848944
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.10075468318299748
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.06044944492370424
tomato,beta-carotene (FW),PLS,reflectance,50,25 mA,-0.07871013339650068
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.3605658475168882
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.30386373139514705
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.3958677791191955
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.4023737610805108
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.36730741122227495
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.46071668512755737
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.3297021599463839
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.32740165186215087
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.36740941814115696
tomato,lycopene (FW),ARD,reflectance,50,100 mA,-0.4459057096515722
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.08012757307472525
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.084797844612076
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.0741148246775823
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.07202622681085644
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.08758225690888821
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.08183634966679151
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.10514194923905103
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.08849874297912792
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.06153725128520018
tomato,beta-carotene (FW),ARD,reflectance,50,100 mA,-0.07295516068974249
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.4606503544835455
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.34942967163564076
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.35154407745987937
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.36370033682408576
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.2690473277891224
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.45983670083342504
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.34540677772439216
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.38062040234563566
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.4286676792207162
tomato,lycopene (FW),Huber Regression,reflectance,50,100 mA,-0.2617102006646731
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.09347703727902704
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.07369781483704392
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.0835739232275459
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.06195048420774775
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.06904226073368287
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.06949653549185633
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.07247212864476542
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.053136825659695616
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.06613875089504247
tomato,beta-carotene (FW),Huber Regression,reflectance,50,100 mA,-0.07198253106436174
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.31604199718982307
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.31273225850796027
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.4032165949614086
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.37398873474527305
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.3056059738064427
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.3452800727605098
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.33280974100659333
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.2930917210381384
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.36989515535177975
tomato,lycopene (FW),Lasso IC,reflectance,50,100 mA,-0.3092512058044388
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.04880823947379802
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.09620677909788795
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.06780011621560868
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.054340119703755664
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.09457973598932437
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.08077900438122078
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.06937054740628076
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.06100106540789617
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.07266487123728675
tomato,beta-carotene (FW),Lasso IC,reflectance,50,100 mA,-0.07598569646844215
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.3610681949897236
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.5264488053232064
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.36639625847475144
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.4246765855274228
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.4216023012075313
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.37309280705333975
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.4201162905321275
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.45778784307230785
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.4031991403494172
tomato,lycopene (FW),SVR,reflectance,50,100 mA,-0.3691953170784904
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.0911461577
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.08610821291025642
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.0837107995
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.09244690901282052
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.08673031710000001
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.08142015919999998
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.0856076129
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.1157057142
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.08569283180000001
tomato,beta-carotene (FW),SVR,reflectance,50,100 mA,-0.08589181947435898
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.35123996465082247
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.37126359725314517
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.4740841370016879
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.3559284172056055
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.35842786304800645
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.33261700157766205
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.3430424186390325
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.33531071718874655
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.37240159389176736
tomato,lycopene (FW),PLS,reflectance,50,100 mA,-0.3383576503289065
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.062153208097510945
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.07170778922158483
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.07173800622047281
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.0978646166054368
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.07371183661538283
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.0799593224703572
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.07587404121656965
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.07303278449312665
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.06239873017236852
tomato,beta-carotene (FW),PLS,reflectance,50,100 mA,-0.08958099419835897
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.36636560765342063
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.4069382280656617
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.37786754006445744
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.2912062433005252
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.34483795914108184
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.3263316965076356
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.30760637127930746
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.34792219939459174
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.3462187239814749
tomato,lycopene (FW),ARD,reflectance,100,12.5 mA,-0.35723066031617423
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.06862055990490415
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.06321035341976532
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.09876515664068461
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.08456420563652121
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.06869940497579152
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.06522400258104968
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.09934741609810589
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.06233014494432104
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.10424977660758979
tomato,beta-carotene (FW),ARD,reflectance,100,12.5 mA,-0.08223722145589434
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.42181354267461835
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.28224590294439145
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.29087176739638376
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.42354293236928775
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.3732415548883264
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.35290956932917467
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.4148585609258168
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.38266825666706367
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.40443235857476284
tomato,lycopene (FW),Huber Regression,reflectance,100,12.5 mA,-0.37800135101435045
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.09828067453332859
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.06321024349260851
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.1012755699151523
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.06944606505888813
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.069842757380283
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.0911632338631503
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.06813274836829028
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.08416700404627024
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.05688135697200589
tomato,beta-carotene (FW),Huber Regression,reflectance,100,12.5 mA,-0.06423560558769373
tomato,lycopene (FW),Lasso IC,reflectance,100,12.5 mA,-0.44285295536448926
